point_id,wet_ndvi_chan,wet_ndvi_ring,wet_mndwi,wet_water_frac,wet_nobs,dry_ndvi_chan,dry_ndvi_ring,dry_mndwi,dry_water_frac,dry_nobs,wet_ndvi_diff,dry_ndvi_diff,seg_id,chainage_m,can_type,prj_name,lon,lat
SEG_d6dea47961_000,0.5630599856376648,0.5593295494715372,-0.35483869910240173,0.0,39,0.3559629023075104,0.41816816727320355,-0.46844515204429626,0.0,39,0.00373043616612756,-0.062205264965693174,SEG_d6dea47961,106.0,Distributary,Pullambadi Canal,78.95778647546933,10.933213578117549
SEG_d6dea47961_001,0.620534360408783,0.5543294548988342,-0.36751529574394226,0.15,40,0.5209923386573792,0.47653748591740924,-0.4522704482078552,0.0,39,0.06620490550994873,0.04445485273996991,SEG_d6dea47961,318.0,Distributary,Pullambadi Canal,78.95959514993733,10.932584439482122
SEG_d6dea47961_002,0.5873384475708008,0.4796741008758545,-0.3810781240463257,0.075,40,0.45294156670570374,0.39895368615786236,-0.5139680504798889,0.0,36,0.10766434669494629,0.05398788054784137,SEG_d6dea47961,529.9,Distributary,Pullambadi Canal,78.96064261754186,10.930972269619438
SEG_d6dea47961_003,0.649359405040741,0.6048764983812968,-0.3407350778579712,0.10256410256410256,39,0.5173521637916565,0.5069993138313293,-0.49905481934547424,0.0,35,0.04448290665944421,0.010352849960327148,SEG_d6dea47961,741.9,Distributary,Pullambadi Canal,78.96178090487219,10.929499107900194
SEG_d6dea47961_004,0.7677616477012634,0.6348435084025065,-0.47453516721725464,0.0,39,0.6659408807754517,0.578259289264679,-0.5745721459388733,0.0,33,0.13291813929875695,0.0876815915107727,SEG_d6dea47961,953.9,Distributary,Pullambadi Canal,78.9624246890317,10.92771188998543
SEG_d6dea47961_005,0.7089733481407166,0.5580404798189799,-0.475506454706192,0.0,41,0.48821383714675903,0.3976987799008687,-0.5245304107666016,0.0,39,0.1509328683217367,0.09051505724589032,SEG_d6dea47961,1165.8,Distributary,Pullambadi Canal,78.96386607259677,10.926439784560733
SEG_d6dea47961_006,0.530145525932312,0.6100376844406128,-0.37071651220321655,0.0,41,0.41234615445137024,0.4651411573092143,-0.42709171772003174,0.0,38,-0.07989215850830078,-0.05279500285784405,SEG_d6dea47961,1377.8,Distributary,Pullambadi Canal,78.96357845660808,10.924785134193968
SEG_d6dea47961_007,0.8202025294303894,0.6327815651893616,-0.5254866480827332,0.0,38,0.6685177087783813,0.4433751702308655,-0.5616196990013123,0.0,37,0.18742096424102783,0.22514253854751587,SEG_d6dea47961,1589.8,Distributary,Pullambadi Canal,78.9647431173852,10.923790758677367
SEG_d6dea47961_008,0.6968992948532104,0.593120296796163,-0.40659618377685547,0.0,38,0.5148640275001526,0.44642174243927,-0.47713717818260193,0.0,39,0.10377899805704749,0.06844228506088257,SEG_d6dea47961,1801.7,Distributary,Pullambadi Canal,78.96655785267949,10.923116884075045
SEG_d6dea47961_009,0.44981151819229126,0.5476851065953573,-0.33086925745010376,0.18421052631578946,38,0.3644630014896393,0.3904889225959778,-0.45616912841796875,0.0,37,-0.09787358840306604,-0.0260259211063385,SEG_d6dea47961,2013.7,Distributary,Pullambadi Canal,78.96681037462442,10.921419704039945
