seg_id,district
SEG_d6dea47961,ARIYALUR
SEG_f60860652b,ARIYALUR
SEG_8b4a5edf74,ARIYALUR
SEG_7271aaebf7,TIRUCHCHIRAPPALLI
CONN_009,ARIYALUR
SEG_5f65ee822b,ARIYALUR
SEG_c1a0050c39,TIRUCHCHIRAPPALLI
SEG_243174ef84,ARIYALUR
SEG_96f3f88334,TIRUCHCHIRAPPALLI
SEG_c3d4559452,TIRUCHCHIRAPPALLI
SEG_185d2295bb,TIRUCHCHIRAPPALLI
SEG_026da372fb,TIRUCHCHIRAPPALLI
SEG_bb172f96d3,TIRUCHCHIRAPPALLI
SEG_db22f44f2e,TIRUCHCHIRAPPALLI
SEG_2b63e0dfb7,TIRUCHCHIRAPPALLI
SEG_b0b770d9b2,TIRUCHCHIRAPPALLI
SEG_a2aa84ae10,TIRUCHCHIRAPPALLI
SEG_121ad386ef,TIRUCHCHIRAPPALLI
SEG_4a381855da,NAGAPATTINAM
SEG_073be8e241,CUDDALORE
SEG_f196fc8d93,THANJAVUR
SEG_ea27f9c330,THANJAVUR
SEG_53bbb573d8,THANJAVUR
SEG_fef0b61042,NAGAPATTINAM
SEG_62ceafc79e,NAGAPATTINAM
SEG_edd9d7381d,THANJAVUR
SEG_88870b49a3,NAGAPATTINAM
SEG_ecfab557d1,THANJAVUR
SEG_1602f87bf9,ARIYALUR
CONN_030,ARIYALUR
SEG_340bbcf821,ARIYALUR
SEG_a06761095b,ARIYALUR
CONN_029,ARIYALUR
SEG_9f2427753f,ARIYALUR
SEG_4fcbd36a19,THANJAVUR
CONN_005,THANJAVUR
SEG_b0e96b4616,THANJAVUR
CONN_004,THANJAVUR
SEG_6bd91cb8aa,THANJAVUR
SEG_591cf61356,THANJAVUR
CONN_003,THANJAVUR
SEG_b94e3c81d0,THANJAVUR
CONN_006,TIRUCHCHIRAPPALLI
SEG_8617c9691a,TIRUCHCHIRAPPALLI
SEG_685ff0249e,ARIYALUR
SEG_676f5e6c59,ARIYALUR
SEG_d4fa472aa0,ARIYALUR
SEG_bb2d083299,ARIYALUR
SEG_245e654e2b,ARIYALUR
SEG_5b75b51fd9,ARIYALUR
SEG_5b899e1ac3,ARIYALUR
SEG_7559bd1f09,ARIYALUR
CONN_024,ARIYALUR
SEG_021fc18aaf,ARIYALUR
CONN_026,ARIYALUR
CONN_025,ARIYALUR
SEG_9b47901941,ARIYALUR
SEG_a21940da4d,ARIYALUR
SEG_282a67d30a,ARIYALUR
SEG_06b44a0712,ARIYALUR
SEG_424f64b7fb,ARIYALUR
SEG_4e13a81883,ARIYALUR
SEG_c7615732c9,ARIYALUR
SEG_f4467ca167,ARIYALUR
SEG_e2c7f2576b,ARIYALUR
SEG_a341d173d1,ARIYALUR
SEG_bb499c3137,ARIYALUR
SEG_553e709888,ARIYALUR
SEG_38c45a3231,ARIYALUR
SEG_f532fd3bc8,ARIYALUR
SEG_84f4e00ee8,ARIYALUR
SEG_085d4b48a7,ARIYALUR
SEG_db1aa2c849,ARIYALUR
SEG_353f0ceeb7,TIRUCHCHIRAPPALLI
SEG_c60cbfef2b,KARUR
SEG_3783821264,TIRUCHCHIRAPPALLI
SEG_7bfc8e797e,TIRUCHCHIRAPPALLI
SEG_c1a28a5288,TIRUCHCHIRAPPALLI
SEG_f9f9b10fbf,TIRUCHCHIRAPPALLI
SEG_f94e1ebbc4,TIRUCHCHIRAPPALLI
SEG_8baa728115,TIRUCHCHIRAPPALLI
SEG_edd59143a1,TIRUCHCHIRAPPALLI
SEG_4a380cfd38,TIRUCHCHIRAPPALLI
SEG_f110ca6aa1,TIRUCHCHIRAPPALLI
SEG_7b3eb71559,TIRUCHCHIRAPPALLI
SEG_0966161c72,TIRUCHCHIRAPPALLI
SEG_667af746c7,TIRUCHCHIRAPPALLI
SEG_4c9954ccf1,TIRUCHCHIRAPPALLI
SEG_1ab7a4ec57,THANJAVUR
SEG_a4fd2a6d81,THANJAVUR
SEG_9194c4a729,THANJAVUR
SEG_9ec66d4821,THANJAVUR
SEG_6f24fed444,THANJAVUR
SEG_1f8dcb11ec,THANJAVUR
SEG_33102de134,THANJAVUR
CONN_002,THANJAVUR
SEG_e0ad6de747,THANJAVUR
SEG_0287932862,THANJAVUR
SEG_53d2cec6c9,THANJAVUR
SEG_b706dc4edc,TIRUCHCHIRAPPALLI
CONN_007,TIRUCHCHIRAPPALLI
SEG_46a7566a01,TIRUCHCHIRAPPALLI
SEG_7624012b29,TIRUCHCHIRAPPALLI
SEG_df5efb5e5b,TIRUCHCHIRAPPALLI
SEG_320fb56811,TIRUCHCHIRAPPALLI
SEG_bb8da91f6d,TIRUCHCHIRAPPALLI
SEG_b2a2e9e2af,TIRUCHCHIRAPPALLI
CONN_001,TIRUCHCHIRAPPALLI
SEG_b8cde8a4f4,TIRUCHCHIRAPPALLI
SEG_a6bc0c4e9c,TIRUCHCHIRAPPALLI
SEG_7d8cdc855a,TIRUCHCHIRAPPALLI
SEG_4efd93f3d4,TIRUCHCHIRAPPALLI
CONN_031,TIRUCHCHIRAPPALLI
SEG_0a2ad389f7,THANJAVUR
SEG_cac7a169c7,THANJAVUR
CONN_027,TIRUCHCHIRAPPALLI
SEG_21b4f59d8c,TIRUCHCHIRAPPALLI
SEG_86f3014737,ARIYALUR
CONN_010,ARIYALUR
SEG_77270133c0,ARIYALUR
SEG_d55e272712,ARIYALUR
SEG_6b76dc62cd,ARIYALUR
SEG_138347af3c,ARIYALUR
CONN_011,ARIYALUR
SEG_c0716f5cb5,ARIYALUR
CONN_028,ARIYALUR
SEG_b9af809031,ARIYALUR
SEG_39fd14b825,CUDDALORE
CONN_023,CUDDALORE
SEG_b3832aff78,ARIYALUR
SEG_56d8344781,TIRUCHCHIRAPPALLI
CONN_008,TIRUCHCHIRAPPALLI
SEG_e4f40d4f26,TIRUCHCHIRAPPALLI
CONN_022,CUDDALORE
SEG_7534c815fa,THANJAVUR
SEG_815209cb8a,CUDDALORE
SEG_a02d95b40a,CUDDALORE
SEG_1cc5de0c04,ARIYALUR
SEG_2f3cb60260,ARIYALUR
SEG_5b0cbf9514,CUDDALORE
SEG_c5ada6b601,CUDDALORE
SEG_079fe720bb,CUDDALORE
SEG_cff2b391cf,CUDDALORE
SEG_95d52f9aa6,CUDDALORE
SEG_2ebddf8908,CUDDALORE
SEG_c2a2b9c0e6,CUDDALORE
CONN_021,CUDDALORE
SEG_26e868a9dd,CUDDALORE
SEG_ce0fc58284,CUDDALORE
SEG_f294df6e87,CUDDALORE
CONN_012,CUDDALORE
SEG_046fa3bf86,CUDDALORE
SEG_183d441104,CUDDALORE
SEG_401344aebf,CUDDALORE
SEG_9c8e94a07f,CUDDALORE
CONN_018,CUDDALORE
SEG_2887ac8623,CUDDALORE
SEG_6189762cc6,CUDDALORE
CONN_015,CUDDALORE
CONN_014,CUDDALORE
SEG_e9c2917a22,CUDDALORE
SEG_e419b61ba5,CUDDALORE
SEG_51a7a3bc3e,CUDDALORE
CONN_020,CUDDALORE
SEG_e60da7f5ff,ARIYALUR
SEG_7704d19b24,CUDDALORE
SEG_b725c01b56,CUDDALORE
CONN_013,CUDDALORE
SEG_72e44d2c48,CUDDALORE
SEG_aa94cb0ab4,CUDDALORE
CONN_016,CUDDALORE
SEG_cd7be71fc9,CUDDALORE
SEG_367e61dc6e,CUDDALORE
CONN_017,CUDDALORE
SEG_321f6545cf,CUDDALORE
SEG_e273ad4f05,THANJAVUR
SEG_a304c38fa9,THANJAVUR
SEG_7b66ba8bd7,THANJAVUR
SEG_a31afad61f,THANJAVUR
SEG_e9ff38d27f,THANJAVUR
SEG_859d4c8f46,THANJAVUR
SEG_861cd786a1,THANJAVUR
SEG_e61fcb5ed9,THANJAVUR
SEG_a545131737,NAGAPATTINAM
SEG_eeda5498c0,THANJAVUR
SEG_015aaba35c,NAGAPATTINAM
SEG_9e66f09772,NAGAPATTINAM
SEG_8e9179f1c1,NAGAPATTINAM
SEG_a92c4abe75,NAGAPATTINAM
SEG_4ef835ee95,NAGAPATTINAM
SEG_a3aa78076f,NAGAPATTINAM
SEG_e5f67e7750,NAGAPATTINAM
SEG_7898c7fcaa,NAGAPATTINAM
SEG_0c7a51fac6,NAGAPATTINAM
SEG_03b1d1c066,NAGAPATTINAM
SEG_da0960b1d6,TIRUCHCHIRAPPALLI
SEG_96d711fc95,THANJAVUR
SEG_d36ff4b64c,TIRUCHCHIRAPPALLI
SEG_45aab1be65,THANJAVUR
SEG_bc7b694964,TIRUCHCHIRAPPALLI
SEG_648340b7c9,TIRUCHCHIRAPPALLI
SEG_123b2b44b9,THANJAVUR
SEG_3fb538288a,THANJAVUR
SEG_6df2e697ff,TIRUCHCHIRAPPALLI
