District,Year,Crop,Season,Area_ha
THANJAVUR,2017,Rice,Autumn,33386
THANJAVUR,2017,Rice,Summer,13538
THANJAVUR,2017,Rice,Winter,123773
THANJAVUR,2017,Other Pulses,Kharif,7195
THANJAVUR,2017,Other Pulses,Rabi,8346
THANJAVUR,2017,Maize,Whole Year,900
THANJAVUR,2017,Groundnut,Whole Year,7580
THANJAVUR,2017,Sesamum,Whole Year,2186
THANJAVUR,2017,Other Oilseeds,Whole Year,35859
THANJAVUR,2017,Cotton,Whole Year,789
THANJAVUR,2017,Sugarcane,Whole Year,4753
THANJAVUR,2017,Arhar/Tur,Whole Year,72
THANJAVUR,2017,Other Non Food Crops,Whole Year,837
THANJAVUR,2017,Fodder Crops,Whole Year,225
THIRUVARUR,2017,Rice,Autumn,23521
THIRUVARUR,2017,Rice,Summer,10043
THIRUVARUR,2017,Rice,Winter,147435
THIRUVARUR,2017,Other Pulses,Kharif,6238
THIRUVARUR,2017,Other Pulses,Rabi,8675
THIRUVARUR,2017,Groundnut,Whole Year,2975
THIRUVARUR,2017,Sesamum,Whole Year,20
THIRUVARUR,2017,Other Oilseeds,Whole Year,102
THIRUVARUR,2017,Cotton,Whole Year,4200
THIRUVARUR,2017,Sugarcane,Whole Year,168
THIRUVARUR,2017,Other Non Food Crops,Whole Year,62
NAGAPATTINAM,2017,Rice,Autumn,34881
NAGAPATTINAM,2017,Rice,Summer,304
NAGAPATTINAM,2017,Rice,Winter,116890
NAGAPATTINAM,2017,Other Pulses,Kharif,16
NAGAPATTINAM,2017,Maize,Whole Year,14
NAGAPATTINAM,2017,Groundnut,Whole Year,864
NAGAPATTINAM,2017,Sesamum,Whole Year,3
NAGAPATTINAM,2017,Other Oilseeds,Whole Year,34
NAGAPATTINAM,2017,Cotton,Whole Year,2227
NAGAPATTINAM,2017,Sugarcane,Whole Year,596
NAGAPATTINAM,2017,Tobacco,Whole Year,128
NAGAPATTINAM,2017,Other Non Food Crops,Whole Year,347
NAGAPATTINAM,2017,Fodder Crops,Whole Year,40
TIRUCHIRAPPALLI,2017,Rice,Autumn,3453
TIRUCHIRAPPALLI,2017,Rice,Summer,2693
TIRUCHIRAPPALLI,2017,Rice,Winter,40407
TIRUCHIRAPPALLI,2017,Jowar,Kharif,216
TIRUCHIRAPPALLI,2017,Jowar,Rabi,1125
TIRUCHIRAPPALLI,2017,Other Pulses,Kharif,125
TIRUCHIRAPPALLI,2017,Other Pulses,Rabi,942
